date,deviceCategory,uniq_users,addedToCart,conv
2021-02-19 00:00:00+00:00,mobile,625,49.0,7.84
2021-02-19 00:00:00+00:00,tablet,80,2.0,2.5
2021-02-20 00:00:00+00:00,desktop,1377,122.0,8.86
2021-02-20 00:00:00+00:00,mobile,598,30.0,5.02
2021-02-20 00:00:00+00:00,tablet,91,2.0,2.2
2021-02-21 00:00:00+00:00,desktop,1690,136.0,8.05
2021-02-21 00:00:00+00:00,mobile,502,13.0,2.59
2021-02-21 00:00:00+00:00,tablet,93,2.0,2.15
2021-02-22 00:00:00+00:00,desktop,1605,121.0,7.54
2021-02-22 00:00:00+00:00,mobile,507,18.0,3.55
2021-02-22 00:00:00+00:00,tablet,69,0.0,0.0
2021-02-23 00:00:00+00:00,desktop,1479,124.0,8.38
2021-02-23 00:00:00+00:00,mobile,539,18.0,3.34
2021-02-23 00:00:00+00:00,tablet,73,2.0,2.74
2021-02-24 00:00:00+00:00,desktop,1329,91.0,6.85
2021-02-24 00:00:00+00:00,mobile,497,24.0,4.83
2021-02-24 00:00:00+00:00,tablet,69,1.0,1.45
2021-02-25 00:00:00+00:00,desktop,905,51.0,5.64
2021-02-25 00:00:00+00:00,mobile,511,18.0,3.52
2021-02-25 00:00:00+00:00,tablet,80,5.0,6.25
2021-02-26 00:00:00+00:00,desktop,913,60.0,6.57
2021-02-26 00:00:00+00:00,mobile,507,22.0,4.34
2021-02-26 00:00:00+00:00,tablet,78,2.0,2.56
2021-02-27 00:00:00+00:00,desktop,1539,82.0,5.33
2021-02-27 00:00:00+00:00,mobile,514,21.0,4.09
2021-02-27 00:00:00+00:00,tablet,77,4.0,5.19
2021-02-28 00:00:00+00:00,desktop,1535,89.0,5.8
2021-02-28 00:00:00+00:00,mobile,501,22.0,4.39
2021-02-28 00:00:00+00:00,tablet,66,0.0,0.0
2021-03-01 00:00:00+00:00,desktop,1527,106.0,6.94
2021-03-01 00:00:00+00:00,mobile,539,25.0,4.64
2021-03-01 00:00:00+00:00,tablet,73,2.0,2.74
2021-03-02 00:00:00+00:00,desktop,1501,113.0,7.53
2021-03-02 00:00:00+00:00,mobile,494,20.0,4.05
2021-03-02 00:00:00+00:00,tablet,64,0.0,0.0
2021-03-03 00:00:00+00:00,desktop,1338,101.0,7.55
2021-03-03 00:00:00+00:00,mobile,503,18.0,3.58
2021-03-03 00:00:00+00:00,tablet,81,0.0,0.0
2021-03-04 00:00:00+00:00,desktop,983,88.0,8.95
2021-03-04 00:00:00+00:00,mobile,485,25.0,5.15
2021-03-04 00:00:00+00:00,tablet,102,4.0,3.92
2021-03-05 00:00:00+00:00,desktop,1008,69.0,6.85
2021-03-05 00:00:00+00:00,mobile,550,27.0,4.91
2021-03-05 00:00:00+00:00,tablet,87,4.0,4.6
2021-03-06 00:00:00+00:00,desktop,1571,110.0,7.0
2021-03-06 00:00:00+00:00,mobile,522,19.0,3.64
2021-03-06 00:00:00+00:00,tablet,76,1.0,1.32
2021-03-07 00:00:00+00:00,desktop,1674,110.0,6.57
2021-03-07 00:00:00+00:00,mobile,559,28.0,5.01
2021-03-07 00:00:00+00:00,tablet,75,5.0,6.67
2021-03-08 00:00:00+00:00,desktop,1610,98.0,6.09
2021-03-08 00:00:00+00:00,mobile,519,20.0,3.85
2021-03-08 00:00:00+00:00,tablet,75,6.0,8.0
2021-03-09 00:00:00+00:00,desktop,1427,110.0,7.71
2021-03-09 00:00:00+00:00,mobile,515,28.0,5.44
2021-03-09 00:00:00+00:00,tablet,66,1.0,1.52
2021-03-10 00:00:00+00:00,desktop,1329,112.0,8.43
2021-03-10 00:00:00+00:00,mobile,551,15.0,2.72
2021-03-10 00:00:00+00:00,tablet,81,2.0,2.47
2021-03-11 00:00:00+00:00,desktop,912,51.0,5.59
2021-03-11 00:00:00+00:00,mobile,573,20.0,3.49
2021-03-11 00:00:00+00:00,tablet,75,2.0,2.67
2021-03-12 00:00:00+00:00,desktop,1043,63.0,6.04
2021-03-12 00:00:00+00:00,mobile,511,20.0,3.91
2021-03-12 00:00:00+00:00,tablet,78,2.0,2.56
2021-03-13 00:00:00+00:00,desktop,1724,140.0,8.12
2021-03-13 00:00:00+00:00,mobile,540,15.0,2.78
2021-03-13 00:00:00+00:00,tablet,65,3.0,4.62
2021-03-14 00:00:00+00:00,desktop,1542,96.0,6.23
2021-03-14 00:00:00+00:00,mobile,494,13.0,2.63
2021-03-14 00:00:00+00:00,tablet,61,2.0,3.28
2021-03-15 00:00:00+00:00,desktop,1560,116.0,7.44
2021-03-15 00:00:00+00:00,mobile,565,15.0,2.65
2021-03-15 00:00:00+00:00,tablet,71,3.0,4.23
2021-03-16 00:00:00+00:00,desktop,1574,108.0,6.86
2021-03-16 00:00:00+00:00,mobile,515,14.0,2.72
2021-03-16 00:00:00+00:00,tablet,68,3.0,4.41
2021-03-17 00:00:00+00:00,desktop,1308,99.0,7.57
2021-03-17 00:00:00+00:00,mobile,546,23.0,4.21
2021-03-17 00:00:00+00:00,tablet,80,3.0,3.75
2021-03-18 00:00:00+00:00,desktop,871,48.0,5.51
2021-03-18 00:00:00+00:00,mobile,529,20.0,3.78
2021-03-18 00:00:00+00:00,tablet,78,3.0,3.85
2021-03-19 00:00:00+00:00,desktop,1034,59.0,5.71
2021-03-19 00:00:00+00:00,mobile,520,23.0,4.42
2021-03-19 00:00:00+00:00,tablet,76,1.0,1.32
2021-03-20 00:00:00+00:00,desktop,1502,103.0,6.86
2021-03-20 00:00:00+00:00,mobile,479,14.0,2.92
2021-03-20 00:00:00+00:00,tablet,82,4.0,4.88
2021-03-21 00:00:00+00:00,desktop,1693,122.0,7.21
2021-03-21 00:00:00+00:00,mobile,539,21.0,3.9
2021-03-21 00:00:00+00:00,tablet,69,3.0,4.35
2021-03-22 00:00:00+00:00,desktop,1667,124.0,7.44
2021-03-22 00:00:00+00:00,mobile,543,22.0,4.05
2021-03-22 00:00:00+00:00,tablet,76,4.0,5.26
2021-03-23 00:00:00+00:00,desktop,1779,97.0,5.45
2021-03-23 00:00:00+00:00,mobile,645,20.0,3.1
2021-03-23 00:00:00+00:00,tablet,66,1.0,1.52
2021-03-24 00:00:00+00:00,desktop,1531,105.0,6.86
2021-03-24 00:00:00+00:00,mobile,518,24.0,4.63
2021-03-24 00:00:00+00:00,tablet,83,4.0,4.82
2021-03-25 00:00:00+00:00,desktop,960,57.0,5.94
2021-03-25 00:00:00+00:00,mobile,535,20.0,3.74
2021-03-25 00:00:00+00:00,tablet,82,3.0,3.66
2021-03-26 00:00:00+00:00,desktop,1022,65.0,6.36
2021-03-26 00:00:00+00:00,mobile,490,22.0,4.49
2021-03-26 00:00:00+00:00,tablet,80,4.0,5.0
2021-03-27 00:00:00+00:00,desktop,1657,129.0,7.79
2021-03-27 00:00:00+00:00,mobile,542,27.0,4.98
2021-03-27 00:00:00+00:00,tablet,88,3.0,3.41
2021-03-28 00:00:00+00:00,desktop,1687,121.0,7.17
2021-03-28 00:00:00+00:00,mobile,542,24.0,4.43
2021-03-28 00:00:00+00:00,tablet,77,0.0,0.0
2021-03-29 00:00:00+00:00,desktop,1636,130.0,7.95
2021-03-29 00:00:00+00:00,mobile,528,17.0,3.22
2021-03-29 00:00:00+00:00,tablet,71,3.0,4.23
2021-03-30 00:00:00+00:00,desktop,1781,129.0,7.24
2021-03-30 00:00:00+00:00,mobile,579,10.0,1.73
2021-03-30 00:00:00+00:00,tablet,68,2.0,2.94
2021-03-31 00:00:00+00:00,desktop,1425,92.0,6.46
2021-03-31 00:00:00+00:00,mobile,494,24.0,4.86
2021-03-31 00:00:00+00:00,tablet,97,8.0,8.25
2021-04-01 00:00:00+00:00,desktop,1322,65.0,4.92
2021-04-01 00:00:00+00:00,mobile,597,20.0,3.35
2021-04-01 00:00:00+00:00,tablet,98,5.0,5.1
2021-04-02 00:00:00+00:00,desktop,1048,70.0,6.68
2021-04-02 00:00:00+00:00,mobile,559,19.0,3.4
2021-04-02 00:00:00+00:00,tablet,89,6.0,6.74
2021-04-03 00:00:00+00:00,desktop,1514,123.0,8.12
2021-04-03 00:00:00+00:00,mobile,526,26.0,4.94
2021-04-03 00:00:00+00:00,tablet,81,4.0,4.94
2021-04-04 00:00:00+00:00,desktop,1662,160.0,9.63
2021-04-04 00:00:00+00:00,mobile,676,26.0,3.85
2021-04-04 00:00:00+00:00,tablet,89,6.0,6.74
2021-04-05 00:00:00+00:00,desktop,1593,124.0,7.78
2021-04-05 00:00:00+00:00,mobile,575,26.0,4.52
2021-04-05 00:00:00+00:00,tablet,90,2.0,2.22
2021-04-06 00:00:00+00:00,desktop,1658,138.0,8.32
2021-04-06 00:00:00+00:00,mobile,615,32.0,5.2
2021-04-06 00:00:00+00:00,tablet,82,6.0,7.32
2021-04-07 00:00:00+00:00,desktop,1442,139.0,9.64
2021-04-07 00:00:00+00:00,mobile,545,27.0,4.95
2021-04-07 00:00:00+00:00,tablet,65,8.0,12.31
2021-04-08 00:00:00+00:00,desktop,944,70.0,7.42
2021-04-08 00:00:00+00:00,mobile,624,16.0,2.56
2021-04-08 00:00:00+00:00,tablet,82,3.0,3.66
2021-04-09 00:00:00+00:00,desktop,998,69.0,6.91
2021-04-09 00:00:00+00:00,mobile,549,21.0,3.83
2021-04-09 00:00:00+00:00,tablet,73,4.0,5.48
2021-04-10 00:00:00+00:00,desktop,1651,132.0,8.0
2021-04-10 00:00:00+00:00,mobile,559,21.0,3.76
2021-04-10 00:00:00+00:00,tablet,59,5.0,8.47
2021-04-11 00:00:00+00:00,desktop,1571,129.0,8.21
2021-04-11 00:00:00+00:00,mobile,516,28.0,5.43
2021-04-11 00:00:00+00:00,tablet,74,5.0,6.76
2021-04-12 00:00:00+00:00,desktop,1483,111.0,7.48
2021-04-12 00:00:00+00:00,mobile,517,24.0,4.64
2021-04-12 00:00:00+00:00,tablet,78,8.0,10.26
2021-04-13 00:00:00+00:00,desktop,1422,128.0,9.0
2021-04-13 00:00:00+00:00,mobile,555,22.0,3.96
2021-04-13 00:00:00+00:00,tablet,64,4.0,6.25
2021-04-14 00:00:00+00:00,desktop,1034,88.0,8.51
2021-04-14 00:00:00+00:00,mobile,527,21.0,3.98
2021-04-14 00:00:00+00:00,tablet,63,2.0,3.17
2021-04-15 00:00:00+00:00,desktop,788,51.0,6.47
2021-04-15 00:00:00+00:00,mobile,505,26.0,5.15
2021-04-15 00:00:00+00:00,tablet,79,6.0,7.59
2021-04-16 00:00:00+00:00,desktop,770,65.0,8.44
2021-04-16 00:00:00+00:00,mobile,520,28.0,5.38
2021-04-16 00:00:00+00:00,tablet,69,3.0,4.35
2021-04-17 00:00:00+00:00,desktop,1350,126.0,9.33
2021-04-17 00:00:00+00:00,mobile,613,31.0,5.06
2021-04-17 00:00:00+00:00,tablet,76,4.0,5.26
2021-04-18 00:00:00+00:00,desktop,1507,115.0,7.63
2021-04-18 00:00:00+00:00,mobile,538,33.0,6.13
2021-04-18 00:00:00+00:00,tablet,81,4.0,4.94
2021-04-19 00:00:00+00:00,desktop,1514,117.0,7.73
2021-04-19 00:00:00+00:00,mobile,537,28.0,5.21
2021-04-19 00:00:00+00:00,tablet,65,2.0,3.08
2021-04-20 00:00:00+00:00,desktop,1514,112.0,7.4
2021-04-20 00:00:00+00:00,mobile,519,22.0,4.24
2021-04-20 00:00:00+00:00,tablet,70,4.0,5.71
2021-04-21 00:00:00+00:00,desktop,1308,126.0,9.63
2021-04-21 00:00:00+00:00,mobile,557,19.0,3.41
2021-04-21 00:00:00+00:00,tablet,62,1.0,1.61
2021-04-22 00:00:00+00:00,desktop,890,62.0,6.97
2021-04-22 00:00:00+00:00,mobile,473,23.0,4.86
2021-04-22 00:00:00+00:00,tablet,62,2.0,3.23
2021-04-23 00:00:00+00:00,desktop,843,58.0,6.88
2021-04-23 00:00:00+00:00,mobile,477,24.0,5.03
2021-04-23 00:00:00+00:00,tablet,76,1.0,1.32
2021-04-24 00:00:00+00:00,desktop,1438,86.0,5.98
2021-04-24 00:00:00+00:00,mobile,486,24.0,4.94
2021-04-24 00:00:00+00:00,tablet,75,3.0,4.0
2021-04-25 00:00:00+00:00,desktop,1510,116.0,7.68
2021-04-25 00:00:00+00:00,mobile,492,16.0,3.25
2021-04-25 00:00:00+00:00,tablet,66,2.0,3.03
2021-04-26 00:00:00+00:00,desktop,2145,149.0,6.95
2021-04-26 00:00:00+00:00,mobile,1489,54.0,3.63
2021-04-26 00:00:00+00:00,tablet,127,3.0,2.36
2021-04-27 00:00:00+00:00,desktop,1725,136.0,7.88
2021-04-27 00:00:00+00:00,mobile,659,30.0,4.55
2021-04-27 00:00:00+00:00,tablet,83,4.0,4.82
2021-04-28 00:00:00+00:00,desktop,1495,137.0,9.16
2021-04-28 00:00:00+00:00,mobile,570,29.0,5.09
2021-04-28 00:00:00+00:00,tablet,77,3.0,3.9
2021-04-29 00:00:00+00:00,desktop,802,49.0,6.11
2021-04-29 00:00:00+00:00,mobile,533,25.0,4.69
2021-04-29 00:00:00+00:00,tablet,65,1.0,1.54
2021-04-30 00:00:00+00:00,desktop,879,79.0,8.99
2021-04-30 00:00:00+00:00,mobile,474,11.0,2.32
2021-04-30 00:00:00+00:00,tablet,63,4.0,6.35
2021-05-01 00:00:00+00:00,desktop,1479,159.0,10.75
2021-05-01 00:00:00+00:00,mobile,573,33.0,5.76
2021-05-01 00:00:00+00:00,tablet,82,3.0,3.66
2021-05-02 00:00:00+00:00,desktop,1633,167.0,10.23
2021-05-02 00:00:00+00:00,mobile,514,24.0,4.67
2021-05-02 00:00:00+00:00,tablet,64,2.0,3.12
2021-05-03 00:00:00+00:00,desktop,1661,186.0,11.2
2021-05-03 00:00:00+00:00,mobile,551,32.0,5.81
2021-05-03 00:00:00+00:00,tablet,63,5.0,7.94
2021-05-04 00:00:00+00:00,desktop,1571,140.0,8.91
2021-05-04 00:00:00+00:00,mobile,689,26.0,3.77
2021-05-04 00:00:00+00:00,tablet,86,8.0,9.3
2021-05-05 00:00:00+00:00,desktop,1109,123.0,11.09
2021-05-05 00:00:00+00:00,mobile,446,17.0,3.81
2021-05-05 00:00:00+00:00,tablet,58,3.0,5.17
2021-05-06 00:00:00+00:00,desktop,661,63.0,9.53
2021-05-06 00:00:00+00:00,mobile,481,27.0,5.61
2021-05-06 00:00:00+00:00,tablet,69,1.0,1.45
2021-05-07 00:00:00+00:00,desktop,710,47.0,6.62
2021-05-07 00:00:00+00:00,mobile,466,18.0,3.86
2021-05-07 00:00:00+00:00,tablet,63,5.0,7.94
2021-05-08 00:00:00+00:00,desktop,1248,128.0,10.26
2021-05-08 00:00:00+00:00,mobile,435,21.0,4.83
2021-05-08 00:00:00+00:00,tablet,58,5.0,8.62
2021-05-09 00:00:00+00:00,desktop,1306,134.0,10.26
2021-05-09 00:00:00+00:00,mobile,483,31.0,6.42
2021-05-09 00:00:00+00:00,tablet,57,4.0,7.02
2021-05-10 00:00:00+00:00,desktop,1293,128.0,9.9
2021-05-10 00:00:00+00:00,mobile,409,16.0,3.91
2021-05-10 00:00:00+00:00,tablet,68,7.0,10.29
2021-05-11 00:00:00+00:00,desktop,1424,130.0,9.13
2021-05-11 00:00:00+00:00,mobile,448,17.0,3.79
2021-05-11 00:00:00+00:00,tablet,59,1.0,1.69
2021-05-12 00:00:00+00:00,desktop,1199,126.0,10.51
2021-05-12 00:00:00+00:00,mobile,474,21.0,4.43
2021-05-12 00:00:00+00:00,tablet,43,3.0,6.98
2021-05-13 00:00:00+00:00,desktop,654,72.0,11.01
2021-05-13 00:00:00+00:00,mobile,403,17.0,4.22
2021-05-13 00:00:00+00:00,tablet,58,5.0,8.62
2021-05-14 00:00:00+00:00,desktop,646,58.0,8.98
2021-05-14 00:00:00+00:00,mobile,410,25.0,6.1
2021-05-14 00:00:00+00:00,tablet,67,5.0,7.46
2021-05-15 00:00:00+00:00,desktop,1480,113.0,7.64
2021-05-15 00:00:00+00:00,mobile,470,22.0,4.68
2021-05-15 00:00:00+00:00,tablet,53,3.0,5.66
2021-05-16 00:00:00+00:00,desktop,1879,135.0,7.18
2021-05-16 00:00:00+00:00,mobile,566,28.0,4.95
2021-05-16 00:00:00+00:00,tablet,68,7.0,10.29
2021-05-17 00:00:00+00:00,desktop,1851,126.0,6.81
2021-05-17 00:00:00+00:00,mobile,729,39.0,5.35
2021-05-17 00:00:00+00:00,tablet,76,3.0,3.95
2021-05-18 00:00:00+00:00,desktop,1571,119.0,7.57
2021-05-18 00:00:00+00:00,mobile,685,29.0,4.23
2021-05-18 00:00:00+00:00,tablet,73,5.0,6.85
2021-05-19 00:00:00+00:00,desktop,1240,125.0,10.08
2021-05-19 00:00:00+00:00,mobile,644,31.0,4.81
2021-05-19 00:00:00+00:00,tablet,77,4.0,5.19
2021-05-20 00:00:00+00:00,desktop,779,71.0,9.11
2021-05-20 00:00:00+00:00,mobile,795,36.0,4.53
2021-05-20 00:00:00+00:00,tablet,122,2.0,1.64
2021-05-21 00:00:00+00:00,desktop,813,82.0,10.09
2021-05-21 00:00:00+00:00,mobile,540,31.0,5.74
2021-05-21 00:00:00+00:00,tablet,93,4.0,4.3
2021-05-22 00:00:00+00:00,desktop,1452,131.0,9.02
2021-05-22 00:00:00+00:00,mobile,435,17.0,3.91
2021-05-22 00:00:00+00:00,tablet,63,2.0,3.17
2021-05-23 00:00:00+00:00,desktop,1346,111.0,8.25
2021-05-23 00:00:00+00:00,mobile,431,25.0,5.8
2021-05-23 00:00:00+00:00,tablet,67,2.0,2.99
2021-05-24 00:00:00+00:00,desktop,1454,117.0,8.05
2021-05-24 00:00:00+00:00,mobile,537,33.0,6.15
2021-05-24 00:00:00+00:00,tablet,73,3.0,4.11
2021-05-25 00:00:00+00:00,desktop,1349,107.0,7.93
2021-05-25 00:00:00+00:00,mobile,518,24.0,4.63
2021-05-25 00:00:00+00:00,tablet,60,2.0,3.33
2021-05-26 00:00:00+00:00,desktop,1196,88.0,7.36
2021-05-26 00:00:00+00:00,mobile,536,19.0,3.54
2021-05-26 00:00:00+00:00,tablet,63,2.0,3.17
2021-05-27 00:00:00+00:00,desktop,739,41.0,5.55
2021-05-27 00:00:00+00:00,mobile,533,24.0,4.5
2021-05-27 00:00:00+00:00,tablet,85,2.0,2.35
2021-05-28 00:00:00+00:00,desktop,751,53.0,7.06
2021-05-28 00:00:00+00:00,mobile,496,23.0,4.64
2021-05-28 00:00:00+00:00,tablet,79,1.0,1.27
2021-05-29 00:00:00+00:00,desktop,974,57.0,5.85
2021-05-29 00:00:00+00:00,mobile,496,23.0,4.64
2021-05-29 00:00:00+00:00,tablet,76,4.0,5.26
2021-05-30 00:00:00+00:00,desktop,1412,112.0,7.93
2021-05-30 00:00:00+00:00,mobile,439,17.0,3.87
2021-05-30 00:00:00+00:00,tablet,64,1.0,1.56
2021-05-31 00:00:00+00:00,desktop,1432,135.0,9.43
2021-05-31 00:00:00+00:00,mobile,531,19.0,3.58
2021-05-31 00:00:00+00:00,tablet,85,1.0,1.18
